,index,pop_est,continent,name,CODE,gdp_md_est,geometry,The year of the disaster,Country,The name of the ship,Number_of_Deaths,Interval,latitude,longitude
0,115,104256076,Asia,Philippines,PHL,801900.0,"MULTIPOLYGON (((120.8338961121466 12.70449616134243, 120.3234363139674 13.46641347905383, 121.1801282085021 13.42969737391044, 121.5273938335035 13.06959015548452, 121.2621903829816 12.2055602075644, 120.8338961121466 12.70449616134243)), ((122.5860889018671 9.981044826696134, 122.8370813335087 10.26115692793423, 122.9474105164519 10.88186839440806, 123.4988497254384 10.94062449792392, 123.3377742859847 10.2673839380254, 124.0779358257012 11.23272553145374, 123.9824377788258 10.27877859134576, 123.6231832215327 9.950090643753299, 123.3099206889794 9.318268744336706, 122.9958830099417 9.022188625520414, 122.3800549663194 9.713360907424217, 122.5860889018671 9.981044826696134)), ((126.3768135926374 8.414706325713297, 126.4785128113879 7.750354112168978, 126.5374239442006 7.189380601424545, 126.1967729025326 6.274294338400054, 125.8314205262291 7.293715318221842, 125.3638521668522 6.786485297060949, 125.6831608419837 6.049656887227272, 125.3965116720606 5.581003322772276, 124.2197876323424 6.161355495626154, 123.9387195171069 6.885135606306136, 124.2436621440613 7.360610459823661, 123.6102124370275 7.83352732994274, 123.2960714051252 7.418875637232759, 122.8255058126754 7.457374579290204, 122.0854993022557 6.899424139834836, 121.9199280131926 7.192119452336015, 122.3123588400171 8.034962063016465, 122.9423979025196 8.316236883981134, 123.4876876160635 8.69300975182118, 123.8411544129398 8.240324204944372, 124.6014697612502 8.514157619659002, 124.7646122579956 8.960409450715488, 125.4713908224516 8.986996975129657, 125.4121179546128 9.760334784377534, 126.2227144715431 9.286074327018866, 126.3066369975851 8.782487494334561, 126.3768135926374 8.414706325713297)), ((118.5045809265904 9.316382554558047, 117.1742745301007 8.367499904814679, 117.6644771668214 9.066888739452892, 118.3869136902617 9.684499619989211, 118.9873421570611 10.37629201908052, 119.5114962097975 11.3696680770272, 119.6896765483399 10.55429149010988, 119.0294584493789 10.00365326582383, 118.5045809265904 9.316382554558047)), ((122.336956821788 18.22488271735411, 122.1742794129332 17.8102827010764, 122.5156539246533 17.09350474697197, 122.2523108256939 16.26244436285407, 121.6627860861082 15.93101756435014, 121.5050696147534 15.12481354416462, 121.7288285665772 14.32837636968227, 122.2589254090273 14.21820221603599, 122.7012756694457 14.33654124598438, 123.9502950379403 13.78213064214103, 123.8551070496587 13.23777110437842, 124.1812886902849 12.9975273706535, 124.0774190613783 12.53667694747458, 123.2980351095522 13.02752553959894, 122.9286519715299 13.55291982671042, 122.6713550151487 13.18583628992509, 122.0346496928805 13.7844819198103, 121.1263847189186 13.63668732345555, 120.6286373230832 13.8576557479356, 120.6793835795939 14.27101552983829, 120.9918192892305 14.52539276779504, 120.6933362163127 14.75667064051731, 120.564145135583 14.3962792017138, 120.0704285014664 14.97086945236713, 119.920928582846 15.40634674729074, 119.8837732280282 16.36370433192999, 120.2864876648787 16.03462881109535, 120.3900472351917 17.59908112229952, 120.7158671407919 18.50522736253752, 121.3213082215235 18.50406464281095, 121.9376013530364 18.21855235439835, 122.2460063009543 18.4789498967171, 122.336956821788 18.22488271735411)), ((122.0383703960055 11.41584096928, 121.8835478048591 11.89175507247199, 122.4838212423615 11.58218740482754, 123.1202165060359 11.58366018314786, 123.1008378439265 11.16593374271649, 122.6377136577267 10.74130849857417, 122.0026103048596 10.44101675052609, 121.9673669780365 10.90569122969463, 122.0383703960055 11.41584096928)), ((125.5025517111235 12.16269460697829, 125.7834647970622 11.04612193444778, 125.0118839865123 11.31145457605041, 125.0327612651582 10.97581614831469, 125.2774491720602 10.35872203210128, 124.8018192892458 10.13467885989986, 124.7601680848185 10.83799510339226, 124.459101190286 10.88992991784559, 124.3025216004417 11.49537099857719, 124.8910128113815 11.41558258711854, 124.877990350444 11.79418996830495, 124.2667615092957 12.55776093184967, 125.2271163270079 12.53572093347718, 125.5025517111235 12.16269460697829)))",1987,Philippines,Dona Paz,4386,1980s,12.879721,121.774017
1,76,1379302771,Asia,China,CHN,21140000.0,"MULTIPOLYGON (((109.4752095886636 18.19770091396857, 108.6552079610562 18.50768199307139, 108.6262174825404 19.36788788500191, 109.119055617308 19.82103851976935, 110.2115987488228 20.10125397387203, 110.7865507345022 20.07753449145005, 111.0100513041646 19.69592987719072, 110.5706466003868 19.25587921800927, 110.3391878601515 18.67839508714759, 109.4752095886636 18.19770091396857)), ((80.2599902688853 42.34999929459906, 80.1801501809943 42.92006785742694, 80.86620649610126 43.18036204688101, 79.96610639844141 44.91751699480463, 81.9470707539181 45.31702749285312, 82.45892581576906 45.53964956316651, 83.18048383986047 47.33003123635086, 85.16429039911324 47.0009557155161, 85.72048383987067 47.45296946877311, 85.7682328633083 48.45575063739699, 86.59877648310336 48.54918162698063, 87.35997033076265 49.21498078062912, 87.75126427607671 49.29719798440549, 88.01383222855173 48.59946279560062, 88.85429772334676 48.06908173277296, 90.28082563676392 47.69354909930793, 90.97080936072501 46.88814606382293, 90.58576826371828 45.71971609148753, 90.9455395853343 45.28607330991028, 92.13389082231822 45.11507599545646, 93.4807336771413 44.97547211361996, 94.68892866412533 44.35233185482842, 95.30687544147153 44.24133087826547, 95.76245486855669 43.31944916439461, 96.34939578652781 42.72563528092869, 97.45175744017801 42.74888967546002, 99.51581749878004 42.52469147396172, 100.8458655131083 42.66380442969145, 101.8330403991799 42.51487295182628, 103.3122782735348 41.9074681666676, 104.522281935649 41.90834666601656, 104.9649939310935 41.59740957291635, 106.1293156270617 42.13432770442891, 107.7447725769379 42.48151581478187, 109.2435958191315 42.5194463160841, 110.4121033061153 42.87123362891103, 111.1296822449202 43.40683401140015, 111.8295878438814 43.74311839453952, 111.6677372579432 44.07317576758771, 111.3483769063795 44.45744171811009, 111.8733061056003 45.10207937273506, 112.4360624532588 45.01164561622429, 113.4639066915442 44.80889313412712, 114.4603316589961 45.33981679949382, 115.9850964702001 45.727235012386, 116.7178682800989 46.38820241961521, 117.4217012879142 46.67273285581426, 118.8743257996387 46.80541209572365, 119.6632698914388 46.69267995867892, 119.7728239278975 47.04805878355013, 118.8665743347949 47.74706004494617, 118.0641426941667 48.06673045510369, 117.2955074402574 47.69770905210743, 116.3089526713732 47.85341014260284, 115.7428373556158 47.72654450132629, 115.4852820170731 48.13538259540344, 116.1918021993676 49.13459809019911, 116.6788008972861 49.8885313991214, 117.8792444194264 49.51098338479697, 119.2884607280258 50.142882798862, 119.27939 50.58292, 120.1820800000002 51.64355000000012, 120.7382 51.96411000000006, 120.725789015792 52.51622630473094, 120.1770886577168 52.75388621684124, 121.0030847514702 53.25140106873119, 122.2457479187928 53.4317259792137, 123.57147 53.45880000000005, 125.0682112977104 53.16104482686886, 125.9463489116462 52.79279857035698, 126.564399041857 51.7842554795327, 126.9391565288377 51.35389415140592, 127.2874556824848 50.73979726826548, 127.6574000000003 49.76027000000011, 129.3978178244204 49.44060008401544, 130.5822933289824 48.72968740497614, 130.9872600000001 47.79013000000003, 132.50669 47.78896000000003, 133.3735958192279 48.18344167743487, 135.0263114767866 48.47822988544387, 134.50081 47.57845000000009, 134.1123500000001 47.21248000000008, 133.7696439963129 46.11692698829901, 133.0971200000001 45.14409000000006, 131.8834542176595 45.32116160743652, 131.0251900000002 44.96796000000006, 131.2885551291155 44.11151968034828, 131.1446879416149 42.92998973242689, 130.6338664084097 42.90301463477053, 130.6399997069095 42.39502427522179, 129.9942672059332 42.98538686784379, 129.5966687358795 42.42498179785456, 128.0522152039723 41.99428457291795, 128.2084330587907 41.46677155208249, 127.343782993683 41.50315176041597, 126.8690832866499 41.81656932226619, 126.1820451193294 41.10733612727637, 125.0799418478406 40.56982371679245, 124.2656246277853 39.92849335383416, 122.867570428561 39.63778758397622, 122.1313879741309 39.17045176854467, 121.0545544780329 38.89747101496285, 121.5859949077225 39.36085358332407, 121.3767570333727 39.75026133885949, 122.1685950053811 40.42244253189602, 121.6403585144935 40.94638987890333, 120.7686287781619 40.59338816991754, 119.6396020854491 39.89805593521424, 119.0234639832331 39.25233307551115, 118.0427486511979 39.2042739934797, 117.5327022644771 38.73763580988408, 118.0596985209896 38.06147553156106, 118.8781498556283 37.89732534438593, 118.9116361837534 37.44846385349871, 119.7028023621421 37.15638865818505, 120.8234574728236 37.87042776137801, 121.711258579598 37.48112335870718, 122.3579374532985 37.45448415786072, 122.5199947449658 36.93061432550185, 121.1041638530331 36.65132904718043, 120.6370089051145 36.11143952081107, 119.6645618022461 35.60979055433772, 119.1512081238586 34.90985911716044, 120.2275248556337 34.36033193616865, 120.6203690939166 33.37672272392514, 121.2290141134502 32.46031871187719, 121.90814578663 31.69217438407465, 121.8919193868904 30.94935150809511, 121.2642574402733 30.6762674016487, 121.5035193217847 30.14291494396429, 122.0921138855891 29.83252045340315, 121.9384281759531 29.01802236583478, 121.6844385112385 28.22551260020662, 121.1256612488665 28.13567312266719, 120.3954732605823 27.05320689544932, 119.5854968608395 25.74078054453261, 118.6568713725545 24.54739085540024, 117.2816064799709 23.62450145109966, 115.8907353048351 22.78287323657807, 114.7638273458462 22.66807404224167, 114.1525468282656 22.22376007739615, 113.8067798198007 22.5483397486214, 113.2410779155016 22.05136749927046, 111.8435921570325 21.55049367928147, 110.7854655294241 21.39714386645534, 110.4440393412717 20.34103261970633, 109.8898612813736 20.28245738370349, 109.6276550639247 21.0082270370267, 109.8644881531183 21.39505097094752, 108.5228129415244 21.71521230721181, 108.0501802917829 21.55237986906012, 107.0434200378726 21.81189891202991, 106.5672733907353 22.21820486092477, 106.7254032735485 22.79426788989842, 105.8112471863052 22.9768924016179, 105.3292094258866 23.35206330005691, 104.4768583516645 22.81915009204697, 103.5045146016606 22.70375661873921, 102.7069922221001 22.70879507088767, 102.1704358256136 22.4647531193893, 101.6520178568615 22.31819875740955, 101.8031197448829 21.17436676684507, 101.27002566936 21.20165192309518, 101.1800053243075 21.43657298429403, 101.1500329935783 21.84998444262902, 100.4165377136274 21.55883942309661, 99.98348921102149 21.7429367131364, 99.24089887898725 22.11831431730458, 99.5319922220874 22.94903880461258, 98.89874922078278 23.14272207284253, 98.66026248575577 24.06328603768997, 97.60471967976198 23.89740469003304, 97.72460900267914 25.083637193293, 98.67183800658916 25.91870250091353, 98.71209394734451 26.74353587494027, 98.68269005737046 27.50881216075062, 98.24623091023329 27.74722138112918, 97.91198774616944 28.33594513601435, 97.32711388549004 28.26158274994634, 96.24883344928779 28.41103099213444, 96.58659061074749 28.83097951915434, 96.11767866413103 29.45280202892247, 95.40480228066464 29.03171662039213, 94.56599043170294 29.27743805593999, 93.41334760943269 28.64062938080723, 92.50311893104364 27.89687632904645, 91.69665652869668 27.77174184825166, 91.25885379431992 28.04061432546629, 90.7305139505678 28.06495392507576, 90.01582889197118 28.29643850352722, 89.47581017452111 28.0427588974064, 88.81424848832056 27.29931590423936, 88.73032596227856 28.08686473236752, 88.12044070836987 27.87654165293959, 86.95451704300061 27.97426178640352, 85.82331994013151 28.20357595469871, 85.01163821812304 28.64277395274734, 84.23457970575015 28.8398937037247, 83.89899295444673 29.32022614187766, 83.33711510613719 29.4637315943522, 82.32751264845088 30.11526805268814, 81.52580447787474 30.42271698660863, 81.11125613802932 30.1834809433134, 79.7213668151071 30.88271474865473, 78.73889448437401 31.51590607352706, 78.45844648632601 32.61816437431273, 79.17612877799553 32.48377981213771, 79.20889163606859 32.99439463961372, 78.81108646028574 33.50619802503242, 78.91226891471322 34.32193634697579, 77.83745079947457 35.49400950778777, 76.19284834178569 35.89840342868783, 75.89689741405013 36.66680613865184, 75.15802778514092 37.13303091078912, 74.98000247589542 37.4199901393059, 74.8299857929521 37.9900070257014, 74.86481570831683 38.3788463404816, 74.25751427602273 38.60650686294345, 73.92885216664644 38.50581533462274, 73.67537926625479 39.4312368841056, 73.96001305531843 39.66000844986173, 73.8222436868283 39.89397349706319, 74.77686242055606 40.36642527929163, 75.4678279967307 40.56207225194867, 76.52636803579745 40.42794607193512, 76.90448449087708 41.06648590754965, 78.18719689322597 41.18531586360481, 78.54366092317531 41.58224254003869, 80.11943037305139 42.12394074153825, 80.2599902688853 42.34999929459906)))",1948,China,Kiangya,2750,1940s,35.86166,104.195397
